Date,Close,High,Low,Open,Volume
2019-12-02,2823.2548828125,2843.1369594520247,2753.667614574164,2773.5496912136887,74561000
2019-12-03,2853.078125,2853.078125,2793.4318924216027,2803.372931184669,79039000
2019-12-04,2813.314208984375,2843.1373278075307,2803.3731693766563,2813.314208984375,65802200
2019-12-05,2853.078125,2863.0191637630664,2813.313969947735,2823.2550087108016,74217800
2019-12-06,2853.078125,2872.9602025261324,2833.1960474738676,2863.0191637630664,53720600
2019-12-09,2882.9013671875,2902.7834455818966,2863.0192887931034,2863.0192887931034,72098600
2019-12-10,2932.606201171875,2942.5472391419494,2863.018935381356,2863.018935381356,132230000
2019-12-11,2922.665283203125,2942.547359959609,2912.724244824883,2922.665283203125,68454200
2019-12-12,2902.783447265625,2962.429682483412,2892.8424080626605,2912.7244864685895,79738600
2019-12-13,2932.606201171875,2962.4293150820977,2922.665163201801,2942.5472391419494,127472400
2019-12-16,2922.665283203125,2952.488398337851,2922.665283203125,2922.665283203125,96037400
2019-12-17,2922.665283203125,2942.547359959609,2912.724244824883,2922.665283203125,100790000
2019-12-18,2992.252685546875,3002.19372436929,2912.7243749675563,2922.665413789971,123281600
2019-12-19,3022.075927734375,3022.075927734375,2972.3707315545334,2992.2528100264703,112903200
2019-12-20,3061.83984375,3061.83984375,3002.1936130275976,3002.1936130275976,150472200
2019-12-23,3071.78076171875,3101.6038759101943,3051.8986855911207,3101.6038759101943,131246800
2019-12-26,3101.603759765625,3111.5447974571816,3081.721684382512,3091.662722074069,140936400
2019-12-27,3081.721923828125,3111.54503922001,3071.780885364163,3111.54503922001,58182800
2019-12-30,3051.898681640625,3101.603871895358,3041.9576435896784,3071.7807577425183,78005800
2020-01-02,3081.721923828125,3091.662962292087,3041.957769972278,3051.89880843624,37379800
2020-01-03,3071.78076171875,3111.544913974009,3032.016609463491,3081.7217997825646,70294600
2020-01-06,3022.075927734375,3051.89904544228,2992.2528100264703,3041.958006206312,61892000
2020-01-07,3022.075927734375,3071.781123914217,3012.134888498407,3071.781123914217,70895600
2020-01-08,2982.3115234375,3002.1936002604166,2932.6063313802083,3002.1936002604166,105080600
2020-01-09,3061.83984375,3071.7808822037337,2992.2525745738635,3002.1936130275976,75587000
2020-01-10,3071.78076171875,3071.78076171875,3041.9576475273057,3061.8397236549354,64231800
2020-01-13,3071.78076171875,3081.7217997825646,3041.9576475273057,3071.78076171875,75399600
2020-01-14,3081.721923828125,3101.604000756048,3061.8398469002013,3101.604000756048,104134400
2020-01-15,3041.9580078125,3101.6042432598038,3022.0759293300653,3081.722164777369,89795200
2020-01-16,3002.193603515625,3051.898795626811,2992.252565093388,3022.0756803600993,145432200
2020-01-17,3071.78076171875,3081.7217997825646,2992.252457208232,3012.1345333358618,130500200
2020-01-20,3032.016357421875,3101.6036180840165,3022.0753201844263,3101.6036180840165,24031800
2020-01-21,3061.83984375,3081.7219206574678,3032.0167283887986,3081.7219206574678,39166600
2020-01-22,3101.603759765625,3121.4858351487383,3071.7806466909556,3081.721684382512,122175200
2020-01-23,3091.6630859375,3111.545163660571,3061.839969352894,3101.6041247990356,83127800
2020-01-24,3151.309326171875,3181.1324428233443,3071.781015101292,3111.5451706365834,154702000
2020-01-27,3071.78076171875,3171.191142356897,3061.8397236549354,3161.2501042930826,98280000
2020-01-28,3081.721923828125,3111.54503922001,3022.075693044355,3041.957769972278,69349600
2020-01-29,3101.603759765625,3151.3089482234077,3091.662722074069,3111.5447974571816,109661000
2020-01-30,3041.9580078125,3111.545282501021,3022.0759293300653,3101.6042432598038,85395600
2020-01-31,3002.193603515625,3061.839834049048,2962.4294498266763,3051.898795626811,157661000
2020-02-03,2982.3115234375,3012.134638671875,2922.66529296875,2942.547369791667,87271800
2020-02-04,2992.252685546875,3051.8989184813645,2982.3116467244604,3022.0758020141197,138857400
2020-02-05,3061.83984375,3061.83984375,3002.1936130275976,3022.075689935065,130211200
2020-02-06,3061.83984375,3121.486074472403,3051.8988052962663,3101.603997564935,111029400
2020-02-07,3071.78076171875,3081.7217997825646,3051.8986855911207,3051.8986855911207,86438600
